21/04/29 04:00:26 1092.139774912837440 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/04/29 04:00:26 1092.139774912837440 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/04/29 04:00:26 1092.139774912837440 DEBUG utils.debug_sql (0.006) SHOW FULL TABLES; args=None
21/04/29 04:00:26 1092.139774912837440 DEBUG utils.debug_sql (0.005) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/04/29 04:00:27 1563.140087633794880 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/04/29 04:00:27 1563.140087633794880 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/04/29 04:00:27 1563.140087633794880 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/04/29 04:00:27 1563.140087633794880 DEBUG utils.debug_sql (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/04/29 05:04:24 1563.140087442175744 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/04/29 05:04:24 1563.140087442175744 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/04/29 05:04:24 1563.140087442175744 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5Q1E2Cv74EpRLzb_M_0jJuE') LIMIT 21; args=('ohDZg5Q1E2Cv74EpRLzb_M_0jJuE',)
21/04/29 05:04:24 1563.140087442175744 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
21/04/29 05:04:24 1563.140087442175744 DEBUG utils.debug_sql (0.002) INSERT INTO `wechat_user` (`create_time`, `modify_time`, `delete_status`, `remark`, `openid`, `unionid`, `session_key`, `nickname`, `gender`, `language`, `country`, `province`, `city`, `avatarurl`, `mobile`) VALUES ('2021-04-28 21:04:24.628669', '2021-04-28 21:04:24.628749', 0, '', 'ohDZg5Q1E2Cv74EpRLzb_M_0jJuE', '', '', '', 0, '', '', '', '', '', ''); args=['2021-04-28 21:04:24.628669', '2021-04-28 21:04:24.628749', False, '', 'ohDZg5Q1E2Cv74EpRLzb_M_0jJuE', '', '', '', 0, '', '', '', '', '', '']
